posted_date,occurrence_date,time,city,state,shape,duration,summary
3/2/21,1/23/21,20:33,Saint Augustine,FL,Fireball,2,Strange rocket-like fireball from the north headed south without a sound.
1/19/21,1/18/21,20:05,Saint Johns,FL,Light,5 seconds,Strobing white lighted object moving fast with no sound at an estimated 100 feet.
1/19/21,7/5/00,15:00,Cape Canaveral,FL,Triangle,&lt;5 mins,Triangular steel grey craft hovering at top of vehicle bridge in broad daylight.
12/23/20,12/10/20,18:42,Naples,FL,Triangle,3 minutes,Video taped something actting funny in the sky.
12/23/20,12/10/20,18:42,Naples,FL,Triangle,3 minutes,Triangle shape the strip it look to be bounce up sideways and down really fast.
12/23/20,12/7/20,00:00,Jacksonville,FL,Sphere,30 seconds,Saw sphere ufo moving up and down and side to side driving back from airport.
12/23/20,11/26/20,22:00,Saint Petersburg,FL,Light,3 minutes,Bright Red/Orange pulsating orb above the tree line.
12/23/20,11/24/20,21:00,Orlando,FL,Oval,30 seconds,Saw an oval shaped craft emerged in fire.
12/23/20,11/24/20,15:30,Port St. Lucie,FL,Sphere,4 hrs,Light transparent with rings through the center.
12/23/20,11/14/20,08:00,Hernando,FL,Light,1 minute,Onject souring through sky with a quick light flash before it disappeared.
12/23/20,11/1/20,20:00,Riviera Beach,FL,Circle,10 minutes,Yellow light in cloud became an orange circle that sped toward and over us with no sound and left holes in clouds.
12/23/20,10/17/20,20:15,Temple Terrace,FL,Chevron,20 seconds,Sheathed stealth bomber.
12/23/20,9/9/03,03:30,Navarre,FL,Light,15 minutes,3 yellow orbs chasing one another in the sky facing south towards the Gulf of Mexico.
12/23/20,11/12/98,22:00,Cape Canaveral,FL,Light,10-20min.,Glowing orb/circle with ability to hover and move at speeds above those visible by eye.
11/5/20,9/25/20,13:28,Plantation,FL,Disk,60 seconds,Black disc shaped saucer seen flying underneath the clouds then shooting up into sky.
11/5/20,9/25/20,07:00,Lake Alfred,FL,Oval,10 minutes,Pack of lights at sunrise over Legoland Florida area.
11/5/20,9/24/20,23:23,Orlando,FL,Triangle,20 minutes,Huge triangle Shape with flashing lights craft hovering seen from I4 highway.
9/4/20,9/1/20,22:15,Parrish,FL,Fireball,5 seconds,UFO sighting in parrish Florida.
8/27/20,8/20/20,22:00,Satellite Beach,FL,Light,10 minutes,Last night of FL vacation observed a large red object sitting in or near T-storm over ocean near Cape Canaveral.
8/27/20,8/16/20,23:30,Pace,FL,Unknown,5 minutes,Very bright object in eastern sky suddenly disappears while being viewed through binoculars.
8/20/20,8/17/20,01:00,Wedgfield,FL,Light,3.0,Ball of light w multicolor-several sightings.
8/20/20,8/16/20,21:00,Pembroke Pines,FL,Circle,45 minutes,5 star-like objects gliding/flying from Jupiter/Saturn area through the sky. 2 of the same objects coming back directly to Jupiter.
8/20/20,8/14/20,22:00,Pompano Beach,FL,Unknown,Hour,There were four different objects which seemed to be connected to each other in some way.
8/20/20,8/11/20,12:30,Homestead,FL,Triangle,3 minutes,I saw a orange triangular shaped object flying to the west. Just hovering then slow moving. There was a orange orb on each point.
8/20/20,8/5/20,20:43,Sarasota,FL,Oval,Don't know,2 Oval shaped objects in north sky.
8/20/20,1/24/20,00:00,Tampa,FL,Light,10 minutes,I was outside my house with my Boyfriend and I saw a red light in the sky in the same spot for about 10 minutes.
8/6/20,8/6/20,16:00,Dania Beach,FL,Circle,3 minutes,Metallic ball flying.
8/6/20,8/1/20,03:04,Melbourne,FL,Oval,6 minutes,I don't know what this is. If you could conform this video for me that would be great. Thank you.
7/31/20,7/29/20,04:19,Venice,FL,Teardrop,5 minutes,Bright White/Orange teardrop turned starburst light moving slowly before changing directions twice and speeding off.
7/31/20,7/25/20,21:45,West Palm Beach,FL,Light,1 minute?,High-speed stop-n-go alternating lights between big bright meteor intensity to small softer blue.
7/23/20,7/4/20,21:30,Crestview,FL,Fireball,5 minutes,6 UFOs and alien noises in neighborhood.
7/23/20,7/11/05,23:45,Port Saint Lucie,FL,Diamond,1 minute,Two diamond shaped lights in the sky pulsating.
6/25/20,6/25/20,17:00,Tampa,FL,Other,20 seconds,White boomerang shaped craft travelling south to north in a straight line at satellite speed for a very long distance.
6/25/20,6/11/20,12:57,Pensacola,FL,Changing,10 minutes,Strange shaped lighted beings appeared on video camera footage.
6/25/20,5/17/20,05:00,Lake Placid,FL,Light,10 minutes,More than 75 lights moving high up in the sky for more than 10 minutes from the SW to NE. ((Starlink satellites?)).
6/25/20,5/1/20,20:12,Delray Beach,FL,Oval,8 min,Three bright lights followed by a stream of colored vapor.
6/25/20,4/30/20,21:15,Coconut Creek,FL,Formation,Less than a minute,Dots of light in a line formation slowly moved in a southwest upward motion and each disappeared as it looked to be going upward.
6/25/20,4/30/20,21:00,Palm Bay,FL,Light,5 minutes,15 plus lights traveling in perfect straight line. Appeared as bright as a star.
6/25/20,4/30/20,03:15,Clearwater,FL,Other,30 minutes,Got up to 3:15am was attracted to look at a “star like” that suddenly went to a blinding bright envelope of bright light.
